"orf_name","colony_id","colony_size"
"YHR164C",200326,0.89359
"YPR124W",200327,1.065259
"YOL068C",200328,1.006436
"YOL160W",200329,1.055353
"YBR089C-A",200331,0.932718
"YDR092W",200332,0.886822
"YPL123C",200333,1.016684
"YPL032C",200334,0.555255
"YPR129W",200335,0.957296
"YFR043C",200336,1.006504
"YOR016C",200337,1.005843
"YNL090W",200338,0.874246
"YBR016W",200339,1.019469
"YDR099W",200340,0.975015
"YPL095C",200341,1.004762
"YDR217C",200342,0.868084
"YCL068C",200343,0.8711
"YFR043C",200344,0.998445
"YOR020C",200345,1.000888
"YJL134W",200346,1.036427
"YBL095W",200347,0.938246
"YDR064W",200348,1.011782
"YPL092W",200349,0.978963
"YKL014C",200350,0.889765
"YCR046C",200351,0.997812
"YKL002W",200352,0.992174
"YKL059C",200354,0.974116
"YBR187W",200355,1.015311
"YLR306W",200356,1.117896
"YFL004W",200358,0.994975
"YNL062C",200360,0.967788
"YPR143W",200362,0.997903
"YLR224W",200364,0.99671
"YMR180C",200365,1.003124
"YDR326C",200366,0.93664
"YCR059C",200367,0.974056
"YJL081C",200368,1.024787
"YHR041C",200370,1.033875
"YDR020C",200371,0.994391
"YDR207C",200374,0.996416
"YNL159C",200376,0.990875
"YOR050C",200377,1.057448
"YOL140W",200378,1.029229
"YPL119C",200392,1.140288
"YDR021W",200395,0.93749
"YNL239W",200396,0.999221
"YJR147W",200398,1.063774
"YAR015W",200399,0.964911
"YKL172W",200400,0.913851
"YMR010W",200401,0.996632
"YJL158C",200402,1.00182
"YHR001W-A",200404,1.031309
"YGL042C",200405,0.960135
"YJL105W",200407,1.065279
"YPR018W",200408,0.739456
"YMR007W",200409,0.980592
"YGR206W",200410,0.995601
"YDR005C",200411,0.946831
"YOL072W",200412,0.94915
"YOR300W",200413,0.990875
"YLR197W",200415,0.86379
"YMR187C",200416,0.98482
"YMR151W",200417,1.080498
"YLR346C",200418,0.711045
"YBR118W",200420,1.038453
"YPR123C",200421,1.030261
"YOL128C",200422,1.060765
"YOL077C",200423,0.989553
"YNL220W",200424,0.999146
"YGR051C",200426,1.039089
"YDR023W",200427,1.000928
"YPL083C",200428,1.043895
"YCR104W",200429,0.951864
"YHL048W",200430,0.992712
"YER122C",200431,0.972622
"YPR155C",200432,0.942128
"YMR166C",200433,0.919524
"YLR333C",200434,0.990875
"YDR036C",200435,0.981664
"YKL138C",200436,0.990875
"YDL137W",200437,0.998802
"YML067C",200438,1.015993
"YLR113W",200439,0.83715
"YOL124C",200440,0.686436
"YMR202W",200441,1.016506
"YNL122C",200442,1.014493
"YDL160C",200443,1.024378
"YDL019C",200454,1.055678
"YDR346C",200455,1.070711
"YLL006W-A",200458,1.211836
"YGR187C",200460,1.007322
"YMR158C-A",200461,0.980885
"YML091C",200462,0.919084
"YNL137C",200463,0.98073
"YPL006W",200464,0.974435
"YHL014C",200465,0.923162
"YMR092C",200466,0.988502
"YMR009W",200467,1.056607
"YDR137W",200468,0.966935
"YOR338W",200469,1.001158
"YJL080C",200470,0.823817
"YGR059W",200471,0.983253
"YGR089W",200472,0.971803
"YHL021C",200473,0.968991
"YKL217W",200474,0.862701
"YDL067C",200475,0.877043
"YMR116C",200476,0.98597
"YJR114W",200477,1.042557
"YEL032W",200478,0.970035
"YMR025W",200479,0.995896
"YBR074W",200480,0.608696
"YGR288W",200481,1.011951
"YPL020C",200482,1.121627
"YLR073C",200483,0.925062
"YJR048W",200484,1.084126
"YMR085W",200485,0.960991
"YDR080W",200486,1.041852
"YMR307W",200487,1.016562
"YFR016C",200488,0.990875
"YHL038C",200489,1.02972
"YNR038W",200490,0.998045
"YIL087C",200491,0.993396
"YJR048W",200492,1.016738
"YMR076C",200494,1.040885
"YIL079C",200495,0.932576
"YFR016C",200496,0.992037
"YHR153C",200497,1.000992
"YDR456W",200498,0.948287
"YKL065C",200499,0.996526
"YDR367W",200500,1.039497
"YCL005W",200501,0.985033
"YEL061C",200502,1.08717
"YIL046W",200503,0.914753
"YGL251C",200504,0.94777
"YHR160C",200505,0.969162
"YDR107C",200506,0.93407
"YBR012C",200507,1.014436
"YHR040W",200518,1.037469
"YIL003W",200519,1.074352
"YER169W",200520,0.363862
"YJR154W",200521,0.993172
"YHR076W",200522,0.972602
"YBR171W",200523,0.975769
"YFR040W",200524,0.943808
"YJR058C",200525,0.952327
"YBR015C",200526,0.915489
"YIL010W",200527,0.911124
"YER167W",200528,0.518143
"YJR043C",200529,0.766388
"YMR313C",200530,0.961963
"YBR173C",200531,0.957347
"YDR407C",200532,0.804141
"YJR047C",200533,0.906188
"YLR413W",200534,0.960013
"YIL035C",200535,0.900965
"YER070W",200536,0.884195
"YJR060W",200537,0.872889
"YMR005W",200538,0.947681
"YBR188C",200539,0.969391
"YPL040C",200540,0.948047
"YKL026C",200541,0.920098
"YOL023W",200542,0.927696
"YIL025C",200543,1.003273
"YOR249C",200544,0.931564
"YJR068W",200545,0.934897
"YLR237W",200546,0.964494
"YBR197C",200547,0.993749
"YDR159W",200548,0.195338
"YKR068C",200549,0.978674
"YCL039W",200550,1.000164
"YIL051C",200551,0.951421
"YGL086W",200552,0.900795
"YKR066C",200553,0.965518
"YGR010W",200554,0.94746
"YMR256C",200555,0.981341
"YIL073C",200556,0.944082
"YJR069C",200557,0.963165
"YOR299W",200558,0.949773
"YIL054W",200559,0.937013
"YLR382C",200560,0.884339
"YKR077W",200561,0.974404
"YJL010C",200562,0.880222
"YMR286W",200563,0.994169
"YCR073C",200564,0
"YJR014W",200565,0.990875
"YKR101W",200566,0.954708
"YHR162W",200567,0.925385
"YLR127C",200568,0.806225
"YKL043W",200569,0.73008
"YPL031C",200570,1.002897
"YNL052W",200571,0.916423
"YGR240C-A",200582,1.075841
"YPR067W",200586,0.98234
"YJR136C",200587,0.950835
"YGL115W",200588,0.927313
"YBR205W",200589,0.926147
"YDR182W-A",200590,0.918418
"YDL146W",200591,0.911516
"YGL135W",200592,0.954783
"YLR059C",200593,0.889742
"YJR118C",200594,0.97155
"YKL027W",200595,0.939933
"YIR010W",200596,0.95235
"YCL052C",200597,0.94856
"YGL007C-A",200598,0.957673
"YLR056W",200599,0.919668
"YLR288C",200600,0.910849
"YLR075W",200601,0.901779
"YCR039C",200602,0.888666
"YJR049C",200603,0.950353
"YGL116W",200604,0.706439
"YBR271W",200605,0.992497
"YPL282C",200606,0.922789
"YIL084C",200607,0.868279
"YGR095C",200608,0.952312
"YLR091W",200609,0.942401
"YNL178W",200610,0.916153
"YJR130C",200611,0.99056
"YDL229W",200612,0.944093
"YBR287W",200613,0.929338
"YMR242W-A",200614,0.983093
"YIL114C",200615,0.990875
"YPL259C",200616,0.9523
"YHR090C",200618,0.990041
"YKL052C",200619,0.949431
"YNL121C",200620,0.731843
"YCL011C",200621,1.000636
"YHR022C-A",200622,0.914382
"YBL029W",200623,0.74033
"YDR381W",200624,0.934901
"YLR204W",200625,1.067633
"YLR449W",200626,0.955367
"YCR027C",200627,0.947549
"YOR171C",200628,1.00865
"YJL222W-A",200630,1.002163
"YGL222C",200631,0.89224
"YLR359W",200632,0.924886
"YLR298C",200633,1.02712
"YBR242W",200635,0.986781
"YOL132W",200646,0.927388
"YJR111C",200647,0.991498
"YLR406C",200648,1.120922
"YJR155W",200649,0.976763
"YGR031W",200650,0.916062
"YPL084W",200651,0.877542
"YDR019C",200652,0.913718
"YNL298W",200653,0.468944
"YLR034C",200654,0.97462
"YOR028C",200655,0.809605
"YKL194C",200656,0.88173
"YKR055W",200657,0.93649
"YGR036C",200658,0.96831
