orf_name,hours,n,normalized_cs,q_cs,effect_cs,exp_id,exp_environment
YAL001C,34,4,1.028083,0.157426,unchanged,28,"N+, C+"
YAL001C,34,4,1.024101,0.228151,unchanged,31,"N+, C++"
YAL001C,34,4,0.998538,0.033904,unchanged,33,"N++,C++"
YAL001C,35,4,0.999364,0.06957,unchanged,91,"N++,C+"
YAL001C,58,4,0.9859,0.022167,unchanged,93,"N-,C++"
YAL002W,34,4,1.012551,0.234396,unchanged,28,"N+, C+"
YAL002W,34,4,1.047671,0.162417,unchanged,31,"N+, C++"
YAL002W,34,4,1.003019,0.155231,unchanged,33,"N++,C++"
YAL002W,35,4,1.004736,0.149982,unchanged,91,"N++,C+"
YAL002W,58,4,0.983472,0.058725,unchanged,93,"N-,C++"
YAL005C,34,4,1.043843,0.136762,unchanged,28,"N+, C+"
YAL005C,34,4,1.013864,0.143783,unchanged,31,"N+, C++"
YAL005C,34,4,1.014346,0.238424,unchanged,33,"N++,C++"
YAL005C,35,4,1.01712,0.32812,unchanged,91,"N++,C+"
YAL005C,58,4,0.974846,0.01479,unchanged,93,"N-,C++"
YAL007C,34,4,1.00471,0.135372,unchanged,28,"N+, C+"
YAL007C,34,4,0.989661,0.01505,unchanged,31,"N+, C++"
YAL007C,34,4,0.991143,0.010178,unchanged,33,"N++,C++"
YAL007C,35,4,0.979689,0.005085,unchanged,91,"N++,C+"
YAL007C,58,4,0.988198,0.020275,unchanged,93,"N-,C++"
YAL008W,34,4,0.819884,0.000755,decreased,28,"N+, C+"
YAL008W,34,4,0.829068,0.000892,decreased,31,"N+, C++"
YAL008W,34,4,0.853441,0.001287,decreased,33,"N++,C++"
YAL008W,35,4,0.886996,0.00151,decreased,91,"N++,C+"
YAL008W,58,4,0.894607,0.001182,decreased,93,"N-,C++"
YAL009W,34,4,1.03549,0.097356,unchanged,28,"N+, C+"
YAL009W,34,4,1.007504,0.047401,unchanged,31,"N+, C++"
YAL009W,34,4,1.012825,0.142788,unchanged,33,"N++,C++"
YAL009W,35,4,0.991094,0.024511,unchanged,91,"N++,C+"
YAL009W,58,4,1.024432,0.171673,unchanged,93,"N-,C++"
YAL010C,34,4,0.752335,0.000755,decreased,28,"N+, C+"
YAL010C,34,4,0.802517,0.000892,decreased,31,"N+, C++"
YAL010C,34,4,0.849384,0.001045,decreased,33,"N++,C++"
YAL010C,35,4,0.791027,0.00151,decreased,91,"N++,C+"
YAL010C,58,4,0.841028,0.001182,decreased,93,"N-,C++"
YAL012W,34,4,0.954317,0.000779,decreased,28,"N+, C+"
YAL012W,34,4,0.956156,0.000962,decreased,31,"N+, C++"
YAL012W,34,4,0.971137,0.021639,unchanged,33,"N++,C++"
YAL012W,35,4,0.983469,0.005779,unchanged,91,"N++,C+"
YAL012W,58,4,0.959631,0.001426,decreased,93,"N-,C++"
YAL016C-B,34,2,1.012614,0.207203,unchanged,28,"N+, C+"
YAL016C-B,34,2,1.00917,0.139065,unchanged,31,"N+, C++"
YAL016C-B,34,2,1.003124,0.110666,unchanged,33,"N++,C++"
YAL016C-B,35,2,0.939059,0.03728,unchanged,91,"N++,C+"
YAL016C-B,58,2,0.99093,0.060445,unchanged,93,"N-,C++"
YAL016W,34,4,0.979106,0.005449,unchanged,28,"N+, C+"
YAL016W,34,4,1.008833,0.065979,unchanged,31,"N+, C++"
YAL016W,34,4,0.993191,0.011243,unchanged,33,"N++,C++"
YAL016W,35,4,0.994162,0.029537,unchanged,91,"N++,C+"
YAL016W,58,4,0.981707,0.012101,unchanged,93,"N-,C++"
YAL017W,34,4,0.647042,0.000755,decreased,28,"N+, C+"
YAL017W,34,4,0.712674,0.000892,decreased,31,"N+, C++"
YAL017W,34,4,0.704918,0.001045,decreased,33,"N++,C++"
YAL017W,35,4,0.627801,0.00151,decreased,91,"N++,C+"
YAL017W,58,4,0.694722,0.001182,decreased,93,"N-,C++"
YAL018C,34,4,0.970173,0.001212,decreased,28,"N+, C+"
YAL018C,34,4,0.980337,0.007116,unchanged,31,"N+, C++"
YAL018C,34,4,0.980117,0.008457,unchanged,33,"N++,C++"
YAL018C,35,4,1.001081,0.106534,unchanged,91,"N++,C+"
YAL018C,58,4,1.040885,0.055893,unchanged,93,"N-,C++"
YAL019W,34,2,0.715068,0.007688,decreased,28,"N+, C+"
YAL019W,34,2,0.789426,0.007915,decreased,31,"N+, C++"
YAL019W,34,2,0.842554,0.009156,decreased,33,"N++,C++"
YAL019W,35,2,0.832561,0.012551,unchanged,91,"N++,C+"
YAL019W,58,2,0.638813,0.010551,unchanged,93,"N-,C++"
YAL020C,34,2,0.985474,0.025579,unchanged,28,"N+, C+"
YAL020C,34,2,0.974956,0.014532,unchanged,31,"N+, C++"
YAL020C,34,2,1.000935,0.0936,unchanged,33,"N++,C++"
YAL020C,35,2,0.999955,0.188243,unchanged,91,"N++,C+"
YAL020C,58,2,1.001685,0.151791,unchanged,93,"N-,C++"
YAL022C,34,4,0.97531,0.001484,decreased,28,"N+, C+"
YAL022C,34,4,0.98784,0.008192,unchanged,31,"N+, C++"
YAL022C,34,4,0.992847,0.017048,unchanged,33,"N++,C++"
YAL022C,35,4,1.005883,0.104316,unchanged,91,"N++,C+"
YAL022C,58,4,0.985826,0.017529,unchanged,93,"N-,C++"
YAL023C,34,4,0.914226,0.000755,decreased,28,"N+, C+"
YAL023C,34,4,0.924357,0.000892,decreased,31,"N+, C++"
