"","orf_name","quality","protogene","barflex_space","overexpression_relative_fitness","overexpression_competitive_fitness","expr_level","Length","percent_disorder","overlap","loss_fitness","no_helices_TMHMM","no_helices_PHOBIUS","GC","percent_phobius","percent_tmhmm","strain_goodalign","strained_conserved_orf","strain_pi"
"1","YAL001C","Verified","Established ORFs","yes","unchanged",0.089,1.66921511646996,3573,0.302586,0,0.8655,0,0,0.372,0,8.62068965517241e-06,1954,0,0.00328986
"2","YAL002W","Verified","Established ORFs","yes","unchanged",NA,0.577175004307525,3825,0.175039,0,0.764,0,0,0.372,0,0.00311616954474097,1962,1957,0.00205977
"3","YAL003W","Verified","Established ORFs","no",NA,NA,5.34035622039458,987,0.495146,0,NA,0,0,0.448,0,0,1736,0,0.00097124
"4","YAL005C","Verified","Established ORFs","yes","unchanged",0.428,2.29545976805146,1929,0.4081,1,1.0405,0,0,0.441,0,0,12,12,0.00325259
"5","YAL007C","Verified","Established ORFs","yes","unchanged",-0.499,3.86748578466041,648,0.27907,0,1.026,2,1,0.372,0.12093023255814,0.210604651162791,2004,2004,0.00233668
"6","YAL008W","Verified","Established ORFs","yes","decreased",0.168,2.13534917361813,597,0.171717,0,1.0445,2,3,0.389,0.318181818181818,0.298939393939394,1984,1983,0.00581939
"7","YAL009W","Verified","Established ORFs","yes","unchanged",NA,2.90405548498209,780,0.250965,0,0.9165,2,2,0.414,0.158301158301158,0.166640926640927,2002,2002,0.00380154
"8","YAL010C","Verified","Established ORFs","yes","decreased",-3.407,1.80088437700506,1482,0.41785,0,0.6365,0,0,0.368,0,2.02839756592292e-05,1988,1983,0.00494253
"9","YAL011W","Verified","Established ORFs","no",NA,-0.607,1.0385083645984,1878,0.6752,0,0.9,0,0,0.417,0,0,1920,1916,0.00575099
"10","YAL012W","Verified","Established ORFs","yes","decreased",0.455,2.84386232421586,1185,0.164975,0,0.804,0,0,0.488,0,2.53807106598985e-05,1978,1971,0.00272725
"11","YAL013W","Verified","Established ORFs","no",NA,NA,1.68213059782754,1263,0.483333,0,0.832,0,0,0.513,0,0,1964,1956,0.00426856
"12","YAL014C","Verified","Established ORFs","no",NA,NA,2.18244929175406,768,0.596078,0,1.0182,1,1,0.451,0.0705882352941176,0.0743921568627451,1886,1885,0.00595583
"13","YAL015C","Verified","Established ORFs","no",NA,NA,2.24918431626693,1200,0.238095,0,1.0345,0,0,0.435,0,0.00100250626566416,1972,1966,0.00504124
"14","YAL016C-A","Dubious","Emerging ORFs","no",NA,NA,-1.2837377727948,315,0.259615,1,NA,0,1,0.413,0.192307692307692,0.215961538461538,1992,1992,0.00338497
"15","YAL016C-B","Dubious","Emerging ORFs","yes","unchanged",0.48,-6.90775527898214,186,0.213115,0,0.9975,0,0,0.257,0,0.0281967213114754,1984,1944,0.0100538
"16","YAL016W","Verified","Established ORFs","yes","unchanged",0.401,3.27533176981242,1908,0.125984,1,NA,0,0,0.383,0,0.000377952755905512,1958,1956,0.00369914
"17","YAL017W","Verified","Established ORFs","yes","decreased",-1.86,0.987308219109435,4071,0.531711,0,0.9895,0,0,0.389,0,7.37463126843658e-06,1926,1914,0.00400974
"18","YAL018C","Uncharacterized","Established ORFs","yes","decreased",0.172,-2.10373423424888,978,0.123077,0,1.023,5,5,0.379,0.307692307692308,0.387569230769231,1964,1963,0.00634089
"19","YAL019W","Verified","Established ORFs","yes","decreased",-1.1,1.56003756213897,3396,0.548187,0,0.959,0,0,0.406,0,0.000503978779840849,1888,1884,0.00483749
"20","YAL019W-A","Dubious","Emerging ORFs","no",NA,NA,-2.99573227355399,570,0.0899471,1,NA,0,0,0.515,0,0.00682539682539683,1952,1729,0.00427294
"21","YAL020C","Verified","Established ORFs","yes","unchanged",0.986,2.20816451737455,1002,0.198198,1,0.9842,0,0,0.553,0,6.00600600600601e-05,1934,1931,0.00732324
"22","YAL021C","Verified","Established ORFs","no",NA,NA,1.23750428753473,2514,0.442055,0,0.721,0,0,0.457,0,1.194743130227e-05,1688,1677,0.00489391
"23","YAL022C","Verified","Established ORFs","yes","decreased",0.191,2.97512131964987,1554,0.255319,0,0.9872,11,11,0.458,0.437137330754352,0.463868471953578,1958,1958,0.00475538
"24","YAL023C","Verified","Established ORFs","yes","decreased",-0.189,2.58964197005191,2280,0.16469,0,1.0708,10,10,0.446,0.270092226613966,0.279117259552042,1970,1968,0.00258099
"25","YAL024C","Verified","Established ORFs","no",NA,NA,0.460584407329244,4308,0.656446,0,0.922,0,0,0.371,0,0.00122648083623693,1948,1948,0.00398603
