"","nameNGO","nameINTER","INTER_length_nt","NGO_length_aa","NGO_no_hel","fract_lengths","coorStartNGO","coorEndNGO","coorStartINTER","coorEndINTER","ChromNGO","ChromINTER","bin"
"1","smorf100032","chr07_1.47",538,35,0,0.1952,84539,84646,84299,84837,7,7,0.175
"2","smorf100039","chr07_1.43",293,34,0,0.3481,80447,80551,80364,80657,7,7,0.325
"3","smorf10015","chr02_1.318",731,57,0,0.2339,592868,593041,592769,593500,2,2,0.225
"4","smorf100190","chr07_1.24",247,38,1,0.4615,45278,45394,45197,45444,7,7,0.475
"5","smorf100230","chr07_1.17",440,35,0,0.2386,35519,35626,35212,35652,7,7,0.225
"6","smorf100241","chr07_1.16",462,36,0,0.2338,32801,32911,32635,33097,7,7,0.225
"7","smorf100278","chr07_1.12",731,32,0,0.1313,23453,23551,23203,23934,7,7,0.125
"8","smorf100290","chr07_1.10",4670,40,0,0.0257,20729,20851,16307,20977,7,7,0.025
"9","smorf100294","chr07_1.10",4670,46,0,0.0296,19343,19483,16307,20977,7,7,0.025
"10","smorf100295","chr07_1.10",4670,35,0,0.0225,18929,19036,16307,20977,7,7,0.025
"11","smorf100299","chr07_1.10",4670,49,0,0.0315,18374,18523,16307,20977,7,7,0.025
"12","smorf100300","chr07_1.10",4670,44,0,0.0283,18161,18295,16307,20977,7,7,0.025
"13","smorf100331","chr07_1.8",750,36,0,0.144,11942,12052,11730,12480,7,7,0.125
"14","smorf100334","chr07_1.7",1714,49,0,0.0858,10892,11041,9395,11109,7,7,0.075
"15","smorf100338","chr07_1.7",1714,26,0,0.0455,10469,10549,9395,11109,7,7,0.025
"16","smorf100351","chr07_1.5",1379,37,0,0.0805,7952,8065,7090,8469,7,7,0.075
"17","smorf100354","chr07_1.5",1379,62,0,0.1349,7235,7423,7090,8469,7,7,0.125
"18","smorf100360","chr07_1.2",1379,51,0,0.1109,5003,5158,3932,5311,7,7,0.125
