names,length,no_res_TM_Phob,no_hel_Phob,type,mode,T,chromosome,coorStart,coorEnd
chr01_1.1,98,0,0,iORFs,scrambled,0.3661,1,2169,2479
chr01_1.2,1398,120,6,iORFs,scrambled,0.3445,1,2707,7235
chr01_1.3,331,45,2,iORFs,scrambled,0.3505,1,9017,10091
chr01_1.4,360,0,0,iORFs,scrambled,0.3265,1,10400,11565
chr01_1.5,31,0,0,iORFs,scrambled,0.266,1,11952,12046
chr01_1.6,304,0,0,iORFs,scrambled,0.284,1,12427,13363
chr01_1.7,2436,238,12,iORFs,scrambled,0.3244,1,13744,21525
chr01_1.8,120,0,0,iORFs,scrambled,0.277,1,21852,22231
chr01_1.9,406,70,4,iORFs,scrambled,0.3148,1,22687,24000
chr01_1.10,931,164,8,iORFs,scrambled,0.335,1,27969,30946
chr01_1.11,118,0,0,iORFs,scrambled,0.3062,1,31184,31567
chr01_1.12,144,16,1,iORFs,scrambled,0.2986,1,32941,33448
chr01_1.13,143,0,0,iORFs,scrambled,0.331,1,34702,35155
chr01_1.14,62,18,1,iORFs,scrambled,0.457,1,36304,36496
chr01_1.15,97,21,1,iORFs,scrambled,0.3904,1,37148,37464
chr01_1.16,65,0,0,iORFs,scrambled,0.2944,1,39047,39259
chr01_1.17,49,0,0,iORFs,scrambled,0.2013,1,42720,42881
chr01_1.18,272,0,0,iORFs,scrambled,0.3297,1,45023,45899
chr01_1.19,102,0,0,iORFs,scrambled,0.329,1,48251,48564
chr01_1.20,46,0,0,iORFs,scrambled,0.3551,1,51708,51855
chr01_1.21,66,0,0,iORFs,scrambled,0.3266,1,52596,52801
chr01_1.23,52,20,1,iORFs,scrambled,0.3718,1,56858,57029
chr01_1.24,33,0,0,iORFs,scrambled,0.3535,1,57386,57488
chr01_1.25,31,0,0,iORFs,scrambled,0.4086,1,57851,57950
chr01_1.26,75,0,0,iORFs,scrambled,0.3053,1,58463,58695
chr01_1.27,56,0,0,iORFs,scrambled,0.3018,1,61053,61231
chr01_1.28,88,0,0,iORFs,scrambled,0.25,1,62564,62840
chr01_1.29,115,0,0,iORFs,scrambled,0.3584,1,65405,65778
chr01_1.30,377,0,0,iORFs,scrambled,0.2491,1,67521,68716
chr01_1.31,229,57,3,iORFs,scrambled,0.328,1,69526,70257
chr01_1.32,411,71,4,iORFs,scrambled,0.3382,1,70490,71786
chr01_1.33,38,0,0,iORFs,scrambled,0.4741,1,73301,73426
chr01_1.34,158,19,1,iORFs,scrambled,0.3143,1,73519,74020
chr01_1.35,72,18,1,iORFs,scrambled,0.4074,1,74824,75043
chr01_1.36,87,0,0,iORFs,scrambled,0.2481,1,76153,76427
chr01_1.38,39,0,0,iORFs,scrambled,0.2941,1,80588,80710
chr01_1.39,241,42,2,iORFs,scrambled,0.3135,1,81952,82706
chr01_1.40,34,0,0,iORFs,scrambled,0.3942,1,83228,83335
chr01_1.41,59,0,0,iORFs,scrambled,0.3073,1,84475,84669
chr01_1.42,76,0,0,iORFs,scrambled,0.3217,1,87032,87286
chr01_1.43,33,0,0,iORFs,scrambled,0.3838,1,87753,87855
chr01_1.44,198,16,1,iORFs,scrambled,0.3339,1,92271,92900
chr01_1.45,63,0,0,iORFs,scrambled,0.2775,1,94487,94687
chr01_1.46,109,20,1,iORFs,scrambled,0.3556,1,99869,100225
chr01_1.47,134,0,0,iORFs,scrambled,0.3391,1,101146,101565
chr01_1.48,128,39,2,iORFs,scrambled,0.3151,1,105873,106272
chr01_1.49,103,19,1,iORFs,scrambled,0.3677,1,108552,108877
chr01_1.50,129,21,1,iORFs,scrambled,0.3119,1,110431,110846
chr01_1.51,79,22,1,iORFs,scrambled,0.3347,1,113360,113614
chr01_1.52,33,0,0,iORFs,scrambled,0.2424,1,114820,114919
chr01_1.53,78,0,0,iORFs,scrambled,0.2906,1,118315,118564
chr01_1.54,217,127,6,iORFs,scrambled,0.3905,1,119542,120225
chr01_1.56,51,0,0,iORFs,scrambled,0.2597,1,124598,124755
chr01_1.57,36,0,0,iORFs,scrambled,0.4273,1,126787,126903
chr01_1.58,45,0,0,iORFs,scrambled,0.292,1,128103,128252
chr01_1.59,83,0,0,iORFs,scrambled,0.34,1,129020,129270
chr01_1.60,88,0,0,iORFs,scrambled,0.2792,1,130533,130801
chr01_1.61,67,0,0,iORFs,scrambled,0.3251,1,131986,132201
chr01_1.62,34,0,0,iORFs,scrambled,0.4854,1,134079,134185
chr01_1.63,57,19,1,iORFs,scrambled,0.3121,1,135667,135855
chr01_1.64,84,0,0,iORFs,scrambled,0.3123,1,136635,136915
chr01_1.65,59,0,0,iORFs,scrambled,0.3652,1,137512,137699
chr01_1.66,147,40,2,iORFs,scrambled,0.3228,1,138347,138832
chr01_1.67,48,0,0,iORFs,scrambled,0.2778,1,138994,139153
chr01_1.68,76,0,0,iORFs,scrambled,0.387,1,139256,139504
chr01_1.69,238,0,0,iORFs,scrambled,0.3427,1,141433,142175
chr01_1.70,166,0,0,iORFs,scrambled,0.2952,1,143162,143708
chr01_1.71,88,18,1,iORFs,scrambled,0.3547,1,151168,151466
chr01_1.72,212,106,5,iORFs,scrambled,0.3777,1,151584,152258
chr01_1.73,55,0,0,iORFs,scrambled,0.3533,1,153878,154066
chr01_1.74,88,23,1,iORFs,scrambled,0.3811,1,154726,155006
chr01_1.75,140,0,0,iORFs,scrambled,0.3595,1,156287,156755
chr01_1.76,108,0,0,iORFs,scrambled,0.3241,1,158621,158966
chr01_1.77,35,20,1,iORFs,scrambled,0.4393,1,159794,159907
chr01_1.78,28,19,1,iORFs,scrambled,0.3953,1,166163,166267
chr01_1.79,124,0,0,iORFs,scrambled,0.3414,1,166340,166742
chr01_1.80,159,0,0,iORFs,scrambled,0.286,1,168866,169369
chr01_1.81,30,0,0,iORFs,scrambled,0.3297,1,170290,170390
chr01_1.82,164,20,1,iORFs,scrambled,0.3516,1,171698,172208
chr01_1.83,260,0,0,iORFs,scrambled,0.3035,1,175340,176154
chr01_1.84,137,20,1,iORFs,scrambled,0.3301,1,176402,176853
chr01_1.85,705,0,0,iORFs,scrambled,0.2897,1,177021,179278
chr01_1.86,407,19,1,iORFs,scrambled,0.3246,1,179818,181134
chr01_1.87,398,18,1,iORFs,scrambled,0.3004,1,181248,182515
chr01_1.89,56,0,0,iORFs,scrambled,0.3353,1,182953,183135
chr01_1.90,90,0,0,iORFs,scrambled,0.2768,1,183468,183763
chr01_1.91,128,0,0,iORFs,scrambled,0.2943,1,184471,184885
chr01_1.92,230,0,0,iORFs,scrambled,0.314,1,185590,186314
chr01_1.93,115,0,0,iORFs,scrambled,0.268,1,187726,188100
chr01_1.94,192,39,2,iORFs,scrambled,0.282,1,188805,189419
chr01_1.95,138,0,0,iORFs,scrambled,0.186,1,189751,190186
chr01_1.96,25,0,0,iORFs,scrambled,0.4286,1,192250,192330
chr01_1.97,65,0,0,iORFs,scrambled,0.159,1,192411,192612
chr01_1.98,1665,17,1,iORFs,scrambled,0.3209,1,196179,201459
chr01_1.99,508,75,4,iORFs,scrambled,0.3067,1,201780,203393
chr01_1.100,110,38,2,iORFs,scrambled,0.4337,1,208007,208357
chr01_1.101,250,18,1,iORFs,scrambled,0.3449,1,208654,209438
chr01_1.102,1613,116,5,iORFs,scrambled,0.3149,1,209769,214878
chr01_1.103,471,0,0,iORFs,scrambled,0.3185,1,215635,217147
chr01_1.104,200,0,0,iORFs,scrambled,0.2924,1,217483,218130
chr01_1.105,68,0,0,iORFs,scrambled,0.3171,1,218334,218539
chr01_1.106,340,17,1,iORFs,scrambled,0.2857,1,219136,220188
chr01_1.107,173,34,2,iORFs,scrambled,0.3244,1,220488,221039
chr01_1.108,248,0,0,iORFs,scrambled,0.2899,1,221651,222396
chr01_1.109,84,0,0,iORFs,scrambled,0.2976,1,224295,224553
chr01_1.110,187,0,0,iORFs,scrambled,0.2816,1,224853,225450
chr01_1.111,278,34,2,iORFs,scrambled,0.3337,1,226854,227732
chr01_1.112,30,0,0,iORFs,scrambled,0.3444,1,229308,229401
chr02_1,315,19,1,iORFs,scrambled,0.3365,2,6608,7604
chr02_1.1,138,0,0,iORFs,scrambled,0.2909,2,7733,8176
chr02_1.2,112,0,0,iORFs,scrambled,0.287,2,8482,8847
chr02_1.4,90,0,0,iORFs,scrambled,0.3148,2,9666,9960
chr02_1.5,92,0,0,iORFs,scrambled,0.3032,2,10551,10846
chr02_1.6,114,47,2,iORFs,scrambled,0.3499,2,13879,14240
chr02_1.7,157,0,0,iORFs,scrambled,0.3631,2,17696,18176
chr02_1.8,242,86,4,iORFs,scrambled,0.359,2,21293,22074
chr02_1.9,178,0,0,iORFs,scrambled,0.3103,2,23535,24097
chr02_1.10,61,17,1,iORFs,scrambled,0.2811,2,24745,24945
chr02_1.11,40,0,0,iORFs,scrambled,0.2727,2,28299,28426
chr02_1.12,117,0,0,iORFs,scrambled,0.3059,2,28546,28938
chr02_1.13,147,0,0,iORFs,scrambled,0.288,2,29157,29640
chr02_1.16,56,0,0,iORFs,scrambled,0.3882,2,36218,36394
chr02_1.17,161,20,1,iORFs,scrambled,0.367,2,36485,36985
chr02_1.18,138,0,0,iORFs,scrambled,0.3518,2,38687,39141
chr02_1.19,95,0,0,iORFs,scrambled,0.3684,2,40524,40827
chr02_1.20,26,19,1,iORFs,scrambled,0.5641,2,43092,43170
chr02_1.21,48,0,0,iORFs,scrambled,0.3082,2,44094,44252
chr02_1.22,234,0,0,iORFs,scrambled,0.3105,2,44915,45641
chr02_1.23,58,18,1,iORFs,scrambled,0.4205,2,46367,46561
chr02_1.24,56,0,0,iORFs,scrambled,0.3176,2,47177,47359
chr02_1.25,61,0,0,iORFs,scrambled,0.3261,2,48625,48821
chr02_1.26,65,0,0,iORFs,scrambled,0.3553,2,49355,49570
chr02_1.28,138,59,3,iORFs,scrambled,0.4058,2,59379,59817
chr02_1.29,138,20,1,iORFs,scrambled,0.3711,2,60735,61198
chr02_1.30,187,0,0,iORFs,scrambled,0.2842,2,62599,63189
chr02_1.31,142,0,0,iORFs,scrambled,0.2482,2,63424,63872
chr02_1.32,111,0,0,iORFs,scrambled,0.3373,2,66815,67165
chr02_1.33,84,0,0,iORFs,scrambled,0.3333,2,69442,69709
chr02_1.34,231,86,4,iORFs,scrambled,0.368,2,71124,71862
chr02_1.35,31,16,1,iORFs,scrambled,0.5106,2,72969,73066
chr02_1.36,175,0,0,iORFs,scrambled,0.3226,2,74692,75255
chr02_1.37,189,80,4,iORFs,scrambled,0.3961,2,79764,80374
chr02_1.38,54,22,1,iORFs,scrambled,0.4049,2,80728,80894
chr02_1.39,71,0,0,iORFs,scrambled,0.3099,2,84259,84496
chr02_1.40,85,0,0,iORFs,scrambled,0.3412,2,86446,86719
chr02_1.41,70,25,1,iORFs,scrambled,0.3791,2,87955,88187
chr02_1.42,75,0,0,iORFs,scrambled,0.3128,2,88275,88520
chr02_1.44,134,0,0,iORFs,scrambled,0.2283,2,89554,89975
chr02_1.46,113,20,1,iORFs,scrambled,0.3548,2,92028,92411
chr02_1.47,71,0,0,iORFs,scrambled,0.3442,2,93395,93640
chr02_1.48,241,0,0,iORFs,scrambled,0.3001,2,95884,96670
chr02_1.50,230,0,0,iORFs,scrambled,0.2768,2,101158,101887
chr02_1.51,26,0,0,iORFs,scrambled,0.3125,2,105223,105309
chr02_1.52,165,37,2,iORFs,scrambled,0.3071,2,107408,107933
chr02_1.53,40,0,0,iORFs,scrambled,0.3,2,109997,110126
chr02_1.55,62,18,1,iORFs,scrambled,0.3387,2,111246,111438
chr02_1.56,27,0,0,iORFs,scrambled,0.2651,2,112710,112802
chr02_1.57,101,0,0,iORFs,scrambled,0.2787,2,113447,113764
chr02_1.58,125,40,2,iORFs,scrambled,0.3687,2,115171,115575
chr02_1.59,242,0,0,iORFs,scrambled,0.3044,2,116832,117591
chr02_1.60,52,24,1,iORFs,scrambled,0.359,2,119169,119337
chr02_1.61,272,63,3,iORFs,scrambled,0.3521,2,121877,122755
chr02_1.62,109,0,0,iORFs,scrambled,0.2979,2,124762,125127
chr02_1.63,220,16,1,iORFs,scrambled,0.3152,2,126122,126830
chr02_1.65,90,0,0,iORFs,scrambled,0.3088,2,127613,127897
chr02_1.66,119,42,2,iORFs,scrambled,0.3315,2,132043,132426
chr02_1.67,126,44,2,iORFs,scrambled,0.4048,2,133752,134145
chr02_1.68,150,91,5,iORFs,scrambled,0.3769,2,135519,136000
chr02_1.69,102,20,1,iORFs,scrambled,0.3562,2,136369,136690
chr02_1.70,276,0,0,iORFs,scrambled,0.3442,2,137464,138343
chr02_1.71,306,0,0,iORFs,scrambled,0.2761,2,140263,141249
chr02_1.72,44,0,0,iORFs,scrambled,0.4361,2,141975,142114
chr02_1.73,160,0,0,iORFs,scrambled,0.3029,2,142871,143395
chr02_1.74,131,16,1,iORFs,scrambled,0.3241,2,143575,143991
chr02_1.75,142,0,0,iORFs,scrambled,0.2921,2,145731,146189
chr02_1.76,100,0,0,iORFs,scrambled,0.2881,2,146888,147211
chr02_1.77,50,0,0,iORFs,scrambled,0.3775,2,150289,150449
chr02_1.78,83,45,2,iORFs,scrambled,0.3904,2,151223,151495
chr02_1.79,75,20,1,iORFs,scrambled,0.3556,2,153613,153850
chr02_1.80,77,0,0,iORFs,scrambled,0.309,2,158392,158658
chr02_1.81,155,0,0,iORFs,scrambled,0.2747,2,159696,160186
chr02_1.82,117,0,0,iORFs,scrambled,0.3105,2,161332,161701
chr02_1.83,104,20,1,iORFs,scrambled,0.3387,2,162718,163043
chr02_1.84,155,17,1,iORFs,scrambled,0.3112,2,164000,164490
chr02_1.85,430,123,6,iORFs,scrambled,0.3669,2,164775,166136
chr02_1.86,82,17,1,iORFs,scrambled,0.3279,2,167267,167520
chr02_1.87,188,0,0,iORFs,scrambled,0.3092,2,167841,168425
chr02_1.88,226,36,2,iORFs,scrambled,0.3348,2,169379,170090
chr02_1.89,91,0,0,iORFs,scrambled,0.2737,2,170339,170625
chr02_1.90,140,19,1,iORFs,scrambled,0.3539,2,171041,171483
chr02_1.91,192,42,2,iORFs,scrambled,0.3351,2,171921,172536
chr02_1.92,94,21,1,iORFs,scrambled,0.4064,2,174591,174922
chr02_1.93,106,24,1,iORFs,scrambled,0.3719,2,177529,177876
chr02_1.94,124,0,0,iORFs,scrambled,0.2796,2,181278,181662
chr02_1.95,100,19,1,iORFs,scrambled,0.3067,2,182097,182403
chr02_1.96,69,0,0,iORFs,scrambled,0.3206,2,184128,184355
chr02_1.98,115,0,0,iORFs,scrambled,0.3681,2,186477,186846
chr02_1.99,274,16,1,iORFs,scrambled,0.3285,2,191586,192453
chr02_1.100,195,0,0,iORFs,scrambled,0.2291,2,193515,194124
chr02_1.101,410,62,3,iORFs,scrambled,0.3255,2,195705,197018
chr02_1.102,53,0,0,iORFs,scrambled,0.323,2,197323,197496
chr02_1.105,52,0,0,iORFs,scrambled,0.2885,2,198057,198234
chr02_1.106,182,67,3,iORFs,scrambled,0.3663,2,198475,199066
chr02_1.107,96,0,0,iORFs,scrambled,0.2284,2,201751,202058
chr02_1.108,47,0,0,iORFs,scrambled,0.305,2,203264,203408
chr02_1.109,90,41,2,iORFs,scrambled,0.3764,2,205820,206109
chr02_1.110,74,19,1,iORFs,scrambled,0.3991,2,206952,207196
chr02_1.111,58,0,0,iORFs,scrambled,0.32,2,209227,209411
chr02_1.113,142,0,0,iORFs,scrambled,0.3357,2,212178,212634
chr02_1.114,69,0,0,iORFs,scrambled,0.3702,2,216369,216589
chr02_1.115,111,0,0,iORFs,scrambled,0.3413,2,217132,217472
chr02_1.116,151,0,0,iORFs,scrambled,0.3407,2,220403,220897
chr02_1.117,37,0,0,iORFs,scrambled,0.3717,2,226955,227077
chr02_1.118,152,0,0,iORFs,scrambled,0.3712,2,227159,227638
chr02_1.119,81,22,1,iORFs,scrambled,0.3704,2,235120,235396
chr02_1.120,222,22,1,iORFs,scrambled,0.3438,2,235795,236494
chr02_1.121,82,19,1,iORFs,scrambled,0.3943,2,236890,237154
chr02_1.122,64,26,1,iORFs,scrambled,0.2969,2,237469,237685
chr02_1.123,84,0,0,iORFs,scrambled,0.246,2,237920,238208
chr02_1.124,196,0,0,iORFs,scrambled,0.3102,2,238325,238942
chr02_1.125,133,0,0,iORFs,scrambled,0.33,2,241285,241709
chr02_1.126,78,0,0,iORFs,scrambled,0.3462,2,242570,242810
chr02_1.127,43,0,0,iORFs,scrambled,0.3178,2,244232,244367
chr02_1.128,73,0,0,iORFs,scrambled,0.3636,2,245669,245907
chr02_1.129,147,18,1,iORFs,scrambled,0.3288,2,246549,247011
chr02_1.130,95,18,1,iORFs,scrambled,0.3951,2,248505,248806
chr02_1.131,491,188,10,iORFs,scrambled,0.348,2,251017,252563
chr02_1.133,210,20,1,iORFs,scrambled,0.3391,2,255682,256328
chr02_1.134,115,44,2,iORFs,scrambled,0.3613,2,256739,257109
chr02_1.135,213,0,0,iORFs,scrambled,0.2953,2,257973,258667
chr02_1.136,52,19,1,iORFs,scrambled,0.4114,2,258974,259144
chr02_1.138,93,40,2,iORFs,scrambled,0.3607,2,265879,266177
chr02_1.139,38,0,0,iORFs,scrambled,0.2522,2,266256,266377
chr02_1.140,85,0,0,iORFs,scrambled,0.3633,2,266450,266724
chr02_1.141,113,64,3,iORFs,scrambled,0.3588,2,267336,267709
